top - 05:00:58 up 543 days, 8:56, 1 user, load average: 0.11, 0.03, 0.01
Tasks: 112 total, 1 running, 111 sleeping, 0 stopped, 0 zombie
%Cpu(s): 0.1 us, 0.1 sy, 0.0 ni, 99.8 id, 0.0 wa, 0.0 hi, 0.0 si, 0.0 st
KiB Mem : 499976 total, 41456 free, 51636 used, 406884 buff/cache
KiB Swap: 0 total, 0 free, 0 used. 392008 avail Mem
652 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ib_nl_sa_wq
653 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kauditd
654 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ib_cm
657 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 iw_cm_wq
660 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 rdma_cm
689 root 20 0 102968 228 0 S 0.0 0.0 0:00.00 lvmetad
796 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kvm-irqfd-c+
1427 root 20 0 5220 116 0 S 0.0 0.0 25:47.02 iscsid
1428 root 10 -10 5720 3524 2436 S 0.0 0.7 123:01.13 iscsid
1449 message+ 20 0 42972 2008 1392 S 0.0 0.4 0:10.67 dbus-daemon
1455 syslog 20 0 256392 1564 0 S 0.0 0.3 13:44.06 rsyslogd
1459 root 20 0 28728 2752 2248 S 0.0 0.6 0:37.68 systemd-log+
1462 root 20 0 653228 3996 1192 S 0.0 0.8 4:47.32 lxcfs
1469 root 20 0 4396 1156 1072 S 0.0 0.2 0:00.00 acpid
1471 root 20 0 274488 1016 212 S 0.0 0.2 27:45.06 accounts-da+
1483 root 20 0 27728 2176 1896 S 0.0 0.4 1:34.16 cron
1490 daemon 20 0 26044 1724 1520 S 0.0 0.3 0:00.84 atd
1520 root 20 0 13372 192 52 S 0.0 0.0 0:04.41 mdadm
1594 root 20 0 14472 1588 1452 S 0.0 0.3 0:00.00 agetty
5845 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kworker/0:0
5906 root 20 0 92832 6816 5884 S 0.0 1.4 0:00.04 sshd
5942 root 20 0 21428 5372 3368 S 0.0 1.1 0:00.06 bash
5958 root 20 0 0 0 0 S 0.0 0.0 0:00.01 kworker/u2:1
6134 root 20 0 65512 5844 5140 S 0.0 1.2 0:00.00 sshd
6135 sshd 20 0 65512 3200 2484 S 0.0 0.6 0:00.00 sshd
6141 root 20 0 65512 5784 5072 S 0.0 1.2 0:00.00 sshd
6142 sshd 20 0 65512 3208 2484 S 0.0 0.6 0:00.00 sshd
6147 root 20 0 40388 3492 2988 R 0.0 0.7 0:00.00 top
6433 root 20 0 277088 764 0 S 0.0 0.2 0:00.56 polkitd
8836 systemd+ 20 0 100324 1552 1312 S 0.0 0.3 0:10.54 systemd-tim+
9724 root 20 0 42364 2344 1808 S 0.0 0.5 0:08.68 systemd-ude+
14463 postgres 20 0 293408 14644 12936 S 0.0 2.9 0:23.56 postgres
14465 postgres 20 0 293408 1704 0 S 0.0 0.3 0:00.67 postgres
14466 postgres 20 0 293408 3408 1704 S 0.0 0.7 0:22.84 postgres
14467 postgres 20 0 293408 2076 372 S 0.0 0.4 0:22.46 postgres
14468 postgres 20 0 293792 3324 1328 S 0.0 0.7 0:13.53 postgres
14469 postgres 20 0 148392 1876 116 S 0.0 0.4 0:13.18 postgres
17737 www-data 20 0 819836 4652 1880 S 0.0 0.9 0:36.39 apache2
17738 www-data 20 0 819844 4948 2008 S 0.0 1.0 0:36.33 apache2
18046 root 20 0 36840 2220 1460 S 0.0 0.4 0:00.00 systemd
18051 root 20 0 209056 2344 0 S 0.0 0.5 0:00.00 (sd-pam)
20779 root 20 0 0 0 0 S 0.0 0.0 0:01.12 kworker/u2:0
25939 root 20 0 71584 4064 2876 S 0.0 0.8 0:17.42 apache2
27861 root 20 0 0 0 0 S 0.0 0.0 0:01.00 kworker/0:1
32109 root 20 0 14656 1328 1192 S 0.0 0.3 0:00.02 agetty
32497 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 xfsalloc
32498 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 xfs_mru_cac+
32699 root 20 0 65512 2516 1804 S 0.0 0.5 5:54.88 sshd
